2026-08-19 15:26:54,871 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-08-19 15:26:54,888 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-08-19 15:26:54,889 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-08-19 15:26:54,889 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-08-19 15:26:54,891 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-08-19 15:26:54,891 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-08-19 15:26:54,892 INFO  SwAddin.cs: 201 - Setting up command manager
2026-08-19 15:26:54,892 INFO  SwAddin.cs: 204 - Adding command manager
2026-08-19 15:26:54,894 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-08-19 15:26:54,895 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-08-19 15:26:54,895 INFO  SwAddin.cs: 210 - Adding event handlers
2026-08-19 15:26:54,897 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-08-19 15:32:47,203 INFO  SwAddin.cs: 294 - Assembly export called for file 1차완성
2026-08-19 15:32:47,204 INFO  SwAddin.cs: 299 - Save is required
2026-08-19 15:32:47,204 INFO  SwAddin.cs: 313 - Saving assembly
2026-08-19 15:32:47,207 INFO  SwAddin.cs: 316 - Opening property manager
2026-08-19 15:32:47,215 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 1차완성
2026-08-19 15:32:47,218 INFO  ExportHelperExtension.cs: 1136 - Found 22 in 1차완성
2026-08-19 15:32:47,218 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 1차완성
2026-08-19 15:32:47,218 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-08-19 15:32:47,219 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-08-19 15:32:47,220 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 1차완성.STEP-1
2026-08-19 15:32:47,220 INFO  ExportHelperExtension.cs: 1136 - Found 45 in 1차완성.STEP-1
2026-08-19 15:32:47,221 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 1차완성.STEP-1
2026-08-19 15:32:47,221 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 1차완성
2026-08-19 15:32:47,221 INFO  ExportHelperExtension.cs: 1136 - Found 22 in 1차완성
2026-08-19 15:32:47,222 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 1차완성
2026-08-19 15:32:47,222 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-08-19 15:32:47,222 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-08-19 15:32:47,222 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 1차완성.STEP-1
2026-08-19 15:32:47,223 INFO  ExportHelperExtension.cs: 1136 - Found 45 in 1차완성.STEP-1
2026-08-19 15:32:47,223 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 1차완성.STEP-1
2026-08-19 15:32:52,625 INFO  SwAddin.cs: 339 - Loading config tree
2026-08-19 15:32:52,628 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2026-08-19 15:32:52,632 INFO  SwAddin.cs: 344 - Showing property manager
2026-08-19 15:36:35,612 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-08-19 15:36:36,319 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-08-19 15:36:38,287 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-08-19 15:36:38,484 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-08-19 15:36:38,731 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-08-19 15:40:37,045 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-08-19 15:42:11,616 INFO  SwAddin.cs: 294 - Assembly export called for file 1차완성
2026-08-19 15:42:11,617 INFO  SwAddin.cs: 299 - Save is required
2026-08-19 15:42:11,617 INFO  SwAddin.cs: 313 - Saving assembly
2026-08-19 15:42:11,617 INFO  SwAddin.cs: 316 - Opening property manager
2026-08-19 15:42:11,617 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 1차완성
2026-08-19 15:42:11,618 INFO  ExportHelperExtension.cs: 1136 - Found 28 in 1차완성
